ECT	electroconvulsive therapy
ECV	external cephalic version
FB	foreign body
FNA	fine needle aspiration
FOBT	fecal occult blood testing
GLT	glucose loading test
GTT	glucose tolerance test
H20	water
I&D	incision and drainage
I&O	intake and output
IUPC	intrauterine pressure catheter
In vitro	in the laboratory
In vivo	in the body
KUB	kidney, ureter, bladder
OGTT	oral glucose tolerance test
PAP	pulmonary artery pressure
PAP	Papanicolaou test
PEEP	positive end expiratory pressure
PT	physical therapy
T&C	type and cross
TPA	tissue plasminogen activator
TPA	total parenteral alimentation
UA	urinalysis
US	ultrasound
XRT	external radiation therapy
ADHD	attention deficit hyperactivity disorder
AF	acid-fast
AIDS	acquired immune deficiency syndrome
ALS	amyotrophic lateral sclerosis
A&O	alert and oriented
AOB	alcohol on breath
ARDS	adult respiratory distress syndrome
ARF	acute renal failure
ARF	acute rheumatic fever
BAD	bipolar affective disorder
BM	bowel movement
CA	cancer
CAB	carotid artery bruit
CABG	coronary artery bypass graft
CAD	coronary artery disease
CBC	complete blood count
CF	cystic fibrosis
C/F	chills/fever
CFT	complement fixation testing
CHD	congenital heart disease
CHF	congestive heart failure
COLD	chronic obstructive lung disease
COPD	chronic obstructive pulmonary disease
CP	chest pain
CP	cerebral palsy
C/S	cesarean section
CV	cardiovascular
CVA	cerebral vascular accident
DTR	deep tendon reflex
DVT	deep venous thrombosis
Dx	diagnosis
EBL	estimated blood loss
EBV	Epstein-Barr virus
EC	eye contact
ECASA	enteric coated acetylsalicylic acid
EGC	early gastric cancer
FAS	fetal alcohol syndrome
FB	foreign body
F/C	fever/chills
FEF	forced expiratory flow
FHR	fetal heart rate
FM	fetal movement
FRC	functional residual capacity
FSE	fetal scalp electrode
FSH	follicle stimulating hormone
FT	full term
FX	fracture
GA	gestational age
GH	growth hormone
GHRH	growth hormone releasing hormone
GI	gastrointestinal
GLT	glucose loading test
GSW	gunshot wound
GU	genitourinary
HA	headache
HA	hemolytic anemia
HAV	hepatitis A virus
HBV	hepatitis B virus
Hb	hemoglobin
HCV	hepatitis C virus
HDL	high density lipoprotein
HDV	hepatitis D virus
HIV	human immunodeficiency virus
HPA	hypothalamic suppression test
HR	heart rate
HTN	hypertension
IBD	inflammatory bowel disease
IBS	inflammatory bowel syndrome
ICP	intracranial pressure
IDDM	insulin dependent diabetes mellitus
IPF	idiopathic pulmonary fibrosis
IUI	intrauterine insemination
IUP	intrauterine pregnancy
IVF	in vitro fertilization
IVIG	intravenous immune globulin
IVP	intravenous push
JCV	JC virus
JRA	juvenile rheumatoid arthritis
JVD	jugular venous distension
KS	Kaposi sarcoma
LAD	leukocyte adhesion deficiency
LBP	lower back pain
LBW	low birth weight
LIH	left inguinal hernia
LOF	loss of fluid
MD	muscular dystrophy
MR	mental retardation
MS	multiple sclerosis
NAD	no acute distress
Nat/O	birth
NIDDM	non-insulin dependent diabetes mellitus
NM	neuromuscular
N/V	nausea vomiting
NVD	normal vaginal delivery
OCD	obsessive compulsive disorder
ON	optic neuritis
OSA	obstructive sleep apnea
PD	Parkinson's disease
PE	pulmonary embolism
PKD	polycystic kidney disease
PID	pelvic inflammatory disease
PIH	pregnancy induced hypertension
PMS	premenstrual syndrome
PTSD	post-traumatic stress disorder
RA	rheumatoid arthritis
RAD	reactive airway disease
RDS	respiratory distress syndrome
REM	rapid eye movements
RHD	rheumatic heart disease
RXN	reaction
SAB	spontaneous abortion
SBO	small bowel obstruction
SBS	shaken baby syndrome
SOB	shortness of breath
STD	sexually transmitted disease
TAH	total abdominal hysterectomy
TB	tuberculosis
TBI	traumatic brain injury
TGA	transient global amnesia
UC	ulcerative colitis
UO	urine output
URI	upper respiratory infection
UTI	urinary tract infection
VB	vaginal bleeding
VBAC	vaginal birth after caesarean section
VF	ventricular fibrillation
VH	vaginal hysterectomy
VH	vaginal hallucination
VIP	voluntary interruption of pregnancy
ABD	abdomen
AD	right ear
AL	left ear
AU	both ears
BMD	bone mass density
BMI	body mass index
BMR	basal metabolic rate
CBD	common bile duct
CBF	cerebral blood flow
FL	femur length
FROM	free range of motion
HC	head circumference
IBW	ideal body weight
LLL	left lower lobe
LLQ	left lower quadrant
LUL	left upper lobe
LUQ	left upper quadrant
LV	left ventricle
OD	right eye
OS	left eye
OU	both eyes
PNS	peripheral nervous system
RA	right atrium
RUL	right upper lobe
RUQ	right upper quadrant
RV	right ventricle
RV	residual volume
TLC	total lung capacity
UE	upper extremity
WT	weight
ALL	Acute lymphoblastic leukemia
AMI	Acute myocardial infarction
B-ALL	B-cell acute lymphoblastic leukemia
FSH	Follicle stimulating hormone
HAPE	High altitude pulmonary edema
HPS	Hantavirus pulmonary syndrome
IBS	Irritable bowel syndrome
IDDM	Insulin-dependent diabetes mellitus
MDS	Myelo dysplastic syndrome
NBCCS	Nevoid basal cell carcinoma syndrome
PE	Pulmonary embolism
SIDS	Sudden infant death syndrome
TSH	Thyroid stimulating hormone
a.c.	Before meals
a/g ratio	Albumin to globulin ratio
ACL	Anterior cruciate ligament
Ad lib	At liberty
AFR	Acute renal failure
ADHD	Attention deficit hyperactivity disorder
ADR	Adverse drug reaction
AIDS	Acquired immune deficiency syndrome
AKA	Above the knee amputation
Anuric	Not producing urine
ANED	Alive no evidence of disease
ADH	Antidiuretic hormone
ARDS	Acute respiratory distress syndrome
ARF	Acute renal failure
ASCVD	Atherosclerotic cardiovascular disease
b.i.d.	Twice daily
bld	Blood
Bibasilar	At the bases of both lungs
BKA	Below the knee amputation
BMP	Basic metabolic panel
BP	Blood pressure
BPD	Borderline personality disorder
BSO	Bilateral salpingo-oophorectomy
C&S	Culture and sensitivity
C/O	Complaint of
cap	Capsule
Ca	Cancer
Ca	carcinoma
CABG	Coronary artery bypass graft
CBC	Complete blood count
CC	Chief complaint
CDE	Complete dental evaluation
cc	Cubic centimeters
Chem panel	Chemistry panel
CPAP	Continuous positive airway pressure
COPD	Chronic obstructive pulmonary disease
CT	Chemotherapy
CVA	Cerebrovascular accident
D/C	Discontinue
DC	Discontinue
DCIS	Ductal Carcinoma In Situ
DDX	Differential diagnosis
DJD	Degenerative joint disease
DM	Diabetes mellitus
DNC	Dilation and curettage
D&C	Dilation and curettage
D and C	Dilation and curettage
DNR	Do not resuscitate
DOE	Dyspnea on exertion
DTR	Deep tendon reflexes
DVT	Deep venous thrombosis
ETOH	Alcohol
ECT	Electroconclusive therapy
FX	Fracture
g	gram
GvHD	Graft vs. host disease
gtt	Drops
H&H	Hemoglobin and hematocrit
H&P	History and physical examination
h.s.	At bedtime
H/O or h/o	History of
HA	Headache
HRT	Hormone replacement or hormone replacement therapy
HTN	Hypertension
I&D	Incision and drainage
IBD	Inflammatory bowel disease
ICD	Implantable cardioverter defibrillator
ICU	Intensive care unit
IM	Intramuscular
IMP	Impression
ITU	Intensive therapy unit
in vitro	In the laboratory
in vivo	In the body
IPF	Idiopathic pulmonary fibrosis
IU	International units
JT	Joint
K	Potassium
KCL	Potassium chloride
LCIS	Lobular Carcinoma In Situ
LBP	Low back pain
LLQ	Left lower quadrant
LUQ	Left upper quadrant
Lytes	Electrolytes
MCL	Medial collateral ligament
mg	Milligrams
M/H	Medical history
ml	Milliliters
MVP	Mitral valve prolapse
N/V	Nausea or vomiting
Na	Sodium
NCP	Nursing care plan
npo	Nothing by mouth
NSR	Normal sinus rhythm of the heart
O&P	Ova and parasites
O.D.	Right eye
O.S.	Left eye
O.U.	Both eyes
ORIF	Open reduction and internal fixation
P	Pulse
p¯	After meals
p.o.	By mouth
p.r.n.	As needed
PCL	Posterior cruciate ligament
PD	Progressive disease
PERRLA	Pupils equal, round, and reactive to light and accommodation
PFT	Pulmonary function test
Plt	Platelets
PMI	Point of maximum impulse
PMS	Premenstrual syndrome
PT	Physical therapy
PTH	Parathyroid hormone
PTSD	Post-traumatic stress syndrome
PUD	Peptic ulcer disease
q.d.	Each day
q.i.d.	Four times daily
q2h	Every 2 hours
q3h	Every 3 hours
qAM	Each morning
qhs	At each bedtime
qod	Every other day
qPM	Each evening
RA	Rheumatoid arthritis
RDS	Respiratory distress syndrome
R/O	Rule out
REB	Rebound
RLQ	Right lower quadrant
ROS	Review of systems
RUQ	Right upper quadrant
s/p	Status post
SAD	Season affective disorder
SOB	Shortness of breath
SQ	Subcutaneous
T	Temperature
T&A	Tonsillectomy and adenoidectomy
t.i.d.	Three times daily
tab	Tablet
TAH	Total abdominal hysterectomy
THR	Total hip replacement
TKR	Total knee replacement
TMJ	Tempomandibular joint
UA	Urinalysis
u/a	Urinalysis
U	Unit
u**	Unit
ULN	Upper limits of normal
URI	Upper respiratory infection
ut dict	As directed
UTI	Urinary tract infection
VSS	Vital signs are stable
Wt	Weight
XRT	Radiotherapy
